ingredient_name,canonical_name,afcd_food_key,afcd_food_name,afcd_match_score,nutrition_basis,energy_kj,energy_kcal,protein_g,fat_total_g,carbohydrates_g,sugars_g,fibre_g,sodium_mg,cpi_category,latest_cpi_period,latest_cpi_index,cpi_monthly_pct_change,cpi_annual_pct_change,foodkeeper_product_id,foodkeeper_name,foodkeeper_subtitle,expiry_match_score,pantry_min_days,pantry_max_days,refrigerate_min_days,refrigerate_max_days,freeze_min_days,freeze_max_days
dried ground cayenne,ground cayenne,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried guajillo chile,guajillo chile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried guajillo chiles,guajillo chile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried guajillo chilies,guajillo chily,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried habanero chile,habanero chile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried habanero chiles,habanero chile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried haricot beans,haricot bean,F000436,"Bean, haricot, dried",1.0,per_100_g,1220.0,291.59,21.9,2.2,34.8,3.5,18.5,4.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried herb,herb,F001601,"Bread, garlic or herb, homemade, cooked",0.812,per_100_g,1285.0,307.12,8.8,11.4,40.5,3.2,3.6,422.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,236,Herbs,dried,1.0,365,730,,,,
dried herbs,herb,F001601,"Bread, garlic or herb, homemade, cooked",0.812,per_100_g,1285.0,307.12,8.8,11.4,40.5,3.2,3.6,422.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,236,Herbs,dried,1.0,365,730,,,,
dried hibiscus flowers,hibiscu flower,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried hijiki seaweed,hijiki seaweed,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried hot chili peppers,hot chili pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried hot pepper,hot pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,548,Hot peppers,,1.0,,,7,7,270,270
dried hot peppers,hot pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,548,Hot peppers,,1.0,,,7,7,270,270
dried hot red chile,hot chile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried hot red chiles,hot chile,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried hot red chili pepper,hot chili pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried hot red chili peppers,hot chili pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried hot red chilies,hot chily,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried italian herb seasoning,italian herb seasoning,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried italian salad dressing mix,italian salad dressing mix,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,356,Salad dressings,"commercial, bottled",0.88,300,360,,,,
dried italian seasoning,italian seasoning,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried jalapeno pepper,jalapeno pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried jalapeno peppers,jalapeno pepper,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried japone chilies,japone chily,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried kaffir lime leaf,kaffir lime leaf,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried kaffir lime leaves,kaffir lime leave,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried kasha,kasha,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried kelp,kelp,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried kelp granules,kelp granule,,,,,,,,,,,,,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
dried kidney beans,kidney bean,F000449,"Bean, red kidney, dried",1.0,per_100_g,1250.0,298.76,22.5,1.8,35.6,3.4,21.5,3.0,Food and non-alcoholic beverages,2026-02-01,101.28,-0.14,3.1,,,,,,,,,,
